nhl_game_id,play_by_play_id,is_goal,is_sog,shot_distance,abs_shot_angle,shot_type_bucket,rebound_bucket,rush_bucket,strength_bucket,shot_side,off_wing,previous_event_type,previous_event_seconds_delta,score_state_bucket,time_bucket,period_bucket
2025020985,3512053,0,0,6.32,71.565,snap,not_rebound,rush_attempt,pk,center,unknown,giveaway,7,trailing_by_1,middle_period,p2
2025020985,3512055,0,1,74.11,3.094,tip,not_rebound,not_rush,ev,center,unknown,missed-shot,100,trailing_by_1,late_period,p2
2025020985,3512061,0,0,59.77,17.526,slap,not_rebound,not_rush,ev,right,true,faceoff,3,trailing_by_1,late_period,p2
2025020985,3512074,0,0,25.63,20.556,slap,not_rebound,not_rush,ev,center,unknown,blocked-shot,18,trailing_by_1,late_period,p2
2025020985,3512088,0,1,68.45,154.933,slap,not_rebound,not_rush,ev,left,true,giveaway,29,leading_by_1,late_period,p2
2025020985,3512090,0,1,43.84,135.000,wrist,not_rebound,not_rush,ev,right,false,shot-on-goal,36,leading_by_1,late_period,p2
2025020056,3440956,0,1,11.18,26.565,backhand,not_rebound,not_rush,ev,center,unknown,shot-on-goal,8,tied,early_period,p2
2025020056,3440963,0,0,12.08,155.556,tip,not_rebound,not_rush,ev,center,unknown,faceoff,3,tied,early_period,p2
2025020056,3440964,0,1,19.03,3.013,wrist,not_rebound,not_rush,ev,center,unknown,missed-shot,13,tied,early_period,p2
2025020056,3440966,0,0,23.43,129.806,wrist,not_rebound,not_rush,ev,right,true,hit,18,tied,middle_period,p2
2025020056,3440968,0,1,31.24,39.806,snap,not_rebound,not_rush,ev,right,true,giveaway,58,tied,middle_period,p2
2025020056,3440973,0,1,39.36,152.784,snap,not_rebound,not_rush,ev,right,false,giveaway,44,tied,middle_period,p2
2025020056,3440974,0,0,37.34,159.624,wrist,not_rebound,not_rush,ev,left,true,shot-on-goal,14,tied,middle_period,p2
2025020056,3440975,0,1,16.12,150.255,wrist,rebound,not_rush,ev,center,unknown,missed-shot,1,tied,middle_period,p2
2025020056,3440976,1,1,61.06,148.392,slap,not_rebound,not_rush,ev,left,true,shot-on-goal,22,tied,middle_period,p2
2025020056,3440978,0,0,9.06,83.660,backhand,not_rebound,not_rush,ev,center,unknown,faceoff,27,trailing_by_1,middle_period,p2
2025020056,3440989,0,0,51.55,18.083,slap,not_rebound,not_rush,ev,right,true,faceoff,2,trailing_by_1,middle_period,p2
2025020056,3440993,0,0,17.72,163.610,backhand,not_rebound,not_rush,ev,center,unknown,faceoff,4,leading_by_1,middle_period,p2
2025020056,3440994,0,0,18.03,176.820,tip,not_rebound,not_rush,ev,center,unknown,missed-shot,25,leading_by_1,late_period,p2
