*05uas*	390	"Carter Batchelder"	(N/A)	LW,Skt	750000
*04f2d*	391	"Drake Batherson"	OTT	RW,Skt	4975000
*01mzs*	392	"Andy Bathgate"	PIT	C,Skt	750000
*05yk0*	393	"Oskars Batna"	(N/A)	C,Skt	750000
*06mcy*	394	"Jacob Battaglia"	NYR	RW,Skt	965000
*04l3t*	395	"Mathias Bau"	(N/A)	LW,Skt	750000
*060xn*	396	"Samu Bau"	UTA	C,Skt	750000
*05oy0*	397	"Tyrel Bauer"	WPG	D,Skt	775000
*04xbz*	398	"Kyle Bauman"	(N/A)	C,Skt	750000
*05g43*	399	"Benjamin Baumgartner"	NJD	C,Skt	750000
*06tz0*	400	"Joby Baumuller"	(N/A)	RW,Skt	750000
*03mot*	401	"Kyle Baun"	(N/A)	RW,Skt	750000
*06tmi*	402	"Roman Bausov"	CAR	D,Skt	750000
*05y10*	403	"Drew Bavaro"	BOS	D,Skt	750000
*03tin*	404	"Stephen Baylis"	(N/A)	LW,Skt	750000
*03cyw*	405	"Gavin Bayreuther"	BUF	D,Skt	775000
*01zv8*	406	"Cody Beach"	(N/A)	RW,Skt	750000
*01586*	407	"Kyle Beach"	(N/A)	LW,Skt	750000
*0056j*	408	"Jay Beagle"	(N/A)	C,Skt	750000
*06tz1*	409	"Lieam Beamish"	(N/A)	C,Skt	750000
*042t0*	410	"Jake Bean"	CGY	D,Skt	1750000
*06rqm*	411	"Carter Bear"	DET	C,Skt	750000
*03rgs*	412	"Ethan Bear"	NYI	D,Skt	850000
*02oe4*	413	"Matthew Beattie"	VAN	LW,Skt	750000
*04zsr*	414	"Alex Beaucage"	(N/A)	RW,Skt	750000
*04a7d*	415	"Francois Beauchemin"	OTT	LW,Skt	750000
*0042c*	416	"Rejean Beauchemin"	(N/A)	G	750000
